Zeit;Kanal A
(ms);(mV)

-25,00857048;-2,04785900
-25,00357048;-1,30290300
-24,99857048;-2,60642200
-24,99357048;-1,48929600
-24,98857048;-2,04785900
-24,98357048;-1,67568900
-24,97857048;-1,67568900
-24,97357048;-1,67568900
-24,96857048;-2,23425200
-24,96357048;-1,67568900
-24,95857048;-2,79281500
-24,95357048;-2,04785900
-24,94857048;-1,67568900
-24,94357048;-2,04785900
-24,93857048;-1,67568900
-24,93357048;-1,30290300
-24,92857048;-1,11712600
-24,92357048;-1,11712600
-24,91857048;-1,67568900
-24,91357048;-1,11712600
-24,90857048;-1,67568900
-24,90357048;-1,30290300
-24,89857048;-0,93073320
-24,89357048;-1,30290300
-24,88857048;-1,11712600
-24,88357048;-1,48929600
-24,87857048;-1,67568900
-24,87357048;-2,23425200
-24,86857048;-0,74434050
-24,86357048;0,18577760
-24,85857048;-1,11712600
-24,85357048;-1,11712600
-24,84857048;-1,11712600
-24,84357048;-0,37217020
-24,83857048;-0,93073320
-24,83357048;-0,37217020
-24,82857048;-0,74434050
-24,82357048;-0,74434050
-24,81857049;-0,37217020
-24,81357049;-0,18577760
-24,80857049;-0,37217020
-24,80357049;0,18577760
-24,79857049;-0,37217020
-24,79357049;-0,37217020
-24,78857049;-0,37217020
-24,78357049;0,18577760
-24,77857049;0,18577760
-24,77357049;0,55856290
-24,76857049;0,00000000
-24,76357049;-0,37217020
-24,75857049;0,18577760
-24,75357049;0,18577760
-24,74857049;0,55856290
-24,74357049;0,74434050
-24,73857049;0,55856290
-24,73357049;0,18577760
-24,72857049;0,00000000
-24,72357049;0,74434050
-24,71857049;0,18577760
-24,71357049;0,18577760
-24,70857049;0,55856290
-24,70357049;1,11712600
-24,69857049;0,00000000
-24,69357049;0,55856290
-24,68857049;0,55856290
-24,68357049;0,55856290
-24,67857049;0,37217020
-24,67357049;0,37217020
-24,66857049;0,18577760
-24,66357049;1,11712600
-24,65857049;0,93073320
-24,65357049;0,55856290
-24,64857049;0,93073320
-24,64357049;1,30290300
