Zeit;Kanal A
(ms);(mV)

-25,00899905;-1,48929600
-25,00399905;-1,11712600
-24,99899905;-2,04785900
-24,99399905;-1,30290300
-24,98899905;-1,86146600
-24,98399905;-1,11712600
-24,97899905;-2,42002900
-24,97399905;-1,67568900
-24,96899905;-2,23425200
-24,96399905;-2,04785900
-24,95899905;-2,23425200
-24,95399905;-1,86146600
-24,94899905;-1,48929600
-24,94399905;-1,86146600
-24,93899905;-2,42002900
-24,93399905;-1,30290300
-24,92899905;-1,67568900
-24,92399905;-2,04785900
-24,91899905;-2,04785900
-24,91399905;-1,67568900
-24,90899905;-1,86146600
-24,90399905;-1,86146600
-24,89899905;-0,74434050
-24,89399905;-2,60642200
-24,88899905;-1,11712600
-24,88399905;-1,11712600
-24,87899905;-2,04785900
-24,87399906;-1,67568900
-24,86899906;-2,23425200
-24,86399906;-2,23425200
-24,85899906;-2,04785900
-24,85399906;-1,67568900
-24,84899906;-1,30290300
-24,84399906;-2,04785900
-24,83899906;-1,30290300
-24,83399906;-1,86146600
-24,82899906;-1,67568900
-24,82399906;-1,86146600
-24,81899906;-1,86146600
-24,81399906;-2,04785900
-24,80899906;-2,04785900
-24,80399906;-2,97859200
-24,79899906;-2,04785900
-24,79399906;-1,67568900
-24,78899906;-2,04785900
-24,78399906;-1,67568900
-24,77899906;-2,04785900
-24,77399906;-2,60642200
-24,76899906;-2,60642200
-24,76399906;-2,60642200
-24,75899906;-2,23425200
-24,75399906;-2,60642200
-24,74899906;-2,23425200
-24,74399906;-2,97859200
-24,73899906;-2,04785900
-24,73399906;-2,23425200
-24,72899906;-2,79281500
-24,72399906;-2,79281500
-24,71899906;-2,97859200
-24,71399906;-3,16498500
-24,70899906;-3,16498500
-24,70399906;-2,79281500
-24,69899906;-2,97859200
-24,69399906;-2,23425200
-24,68899906;-2,42002900
-24,68399906;-2,97859200
-24,67899906;-2,04785900
-24,67399906;-2,04785900
-24,66899906;-2,42002900
-24,66399906;-2,42002900
-24,65899906;-2,97859200
-24,65399906;-2,97859200
