Zeit;Kanal A
(ms);(mV)

-25,00999905;-5,95780000
-25,00499905;-5,58562900
-24,99999905;-5,02706700
-24,99499905;-5,02706700
-24,98999905;-5,58562900
-24,98499905;-5,21284400
-24,97999905;-5,21284400
-24,97499905;-5,58562900
-24,96999905;-5,58562900
-24,96499905;-4,84067400
-24,95999905;-4,84067400
-24,95499905;-5,39923700
-24,94999905;-6,32997000
-24,94499905;-5,77140700
-24,93999905;-5,21284400
-24,93499905;-5,02706700
-24,92999905;-5,95780000
-24,92499905;-5,39923700
-24,91999905;-5,58562900
-24,91499905;-5,39923700
-24,90999905;-5,77140700
-24,90499905;-5,39923700
-24,89999905;-5,21284400
-24,89499905;-5,95780000
-24,88999905;-5,77140700
-24,88499905;-5,02706700
-24,87999905;-5,02706700
-24,87499906;-5,58562900
-24,86999906;-5,58562900
-24,86499906;-5,02706700
-24,85999906;-5,58562900
-24,85499906;-5,77140700
-24,84999906;-5,95780000
-24,84499906;-5,77140700
-24,83999906;-5,95780000
-24,83499906;-6,32997000
-24,82999906;-6,14419300
-24,82499906;-5,02706700
-24,81999906;-5,02706700
-24,81499906;-5,77140700
-24,80999906;-5,95780000
-24,80499906;-5,58562900
-24,79999906;-5,02706700
-24,79499906;-5,77140700
-24,78999906;-5,39923700
-24,78499906;-5,77140700
-24,77999906;-5,58562900
-24,77499906;-5,77140700
-24,76999906;-6,32997000
-24,76499906;-5,58562900
-24,75999906;-5,95780000
-24,75499906;-5,95780000
-24,74999906;-6,32997000
-24,74499906;-5,77140700
-24,73999906;-5,95780000
-24,73499906;-6,32997000
-24,72999906;-6,32997000
-24,72499906;-5,77140700
-24,71999906;-6,32997000
-24,71499906;-5,95780000
-24,70999906;-7,44709600
-24,70499906;-5,95780000
-24,69999906;-6,88853300
-24,69499906;-6,70275500
-24,68999906;-6,32997000
-24,68499906;-5,95780000
-24,67999906;-5,95780000
-24,67499906;-6,70275500
-24,66999906;-7,07492600
-24,66499906;-6,70275500
-24,65999906;-5,21284400
-24,65499906;-5,95780000
