Zeit;Kanal A
(ms);(mV)

-25,00928477;-7,81988100
-25,00428477;-7,44709600
-24,99928477;-8,00565900
-24,99428477;-6,70275500
-24,98928477;-7,26131900
-24,98428477;-6,88853300
-24,97928477;-6,51636300
-24,97428477;-7,44709600
-24,96928477;-7,44709600
-24,96428477;-6,51636300
-24,95928477;-5,77140700
-24,95428477;-5,95780000
-24,94928477;-7,44709600
-24,94428477;-6,70275500
-24,93928477;-6,70275500
-24,93428477;-6,70275500
-24,92928477;-6,88853300
-24,92428477;-7,07492600
-24,91928477;-6,70275500
-24,91428477;-5,95780000
-24,90928477;-5,95780000
-24,90428477;-5,02706700
-24,89928477;-3,90994000
-24,89428477;-3,90994000
-24,88928477;-1,30290300
-24,88428477;-2,23425200
-24,87928477;-1,48929600
-24,87428477;-1,30290300
-24,86928477;-1,48929600
-24,86428477;-2,42002900
-24,85928477;-1,67568900
-24,85428477;-2,04785900
-24,84928477;-3,90994000
-24,84428477;-3,53715500
-24,83928477;-2,97859200
-24,83428477;-4,09571800
-24,82928477;-3,90994000
-24,82428477;-4,28211100
-24,81928477;-4,84067400
-24,81428477;-4,84067400
-24,80928477;-4,28211100
-24,80428477;-3,90994000
-24,79928477;-3,53715500
-24,79428477;-3,72354800
-24,78928477;-3,35137800
-24,78428477;-3,53715500
-24,77928477;-1,30290300
-24,77428477;-0,74434050
-24,76928477;-0,74434050
-24,76428477;0,93073320
-24,75928477;1,86146600
-24,75428477;2,79281500
-24,74928477;3,35137800
-24,74428477;3,90994000
-24,73928477;2,97859200
-24,73428477;4,46850300
-24,72928477;4,09571800
-24,72428477;4,28211100
-24,71928477;3,90994000
-24,71428477;4,65428200
-24,70928477;3,72354800
-24,70428477;3,35137800
-24,69928477;3,72354800
-24,69428477;3,35137800
-24,68928477;3,35137800
-24,68428477;2,97859200
-24,67928477;3,35137800
-24,67428477;3,90994000
-24,66928477;3,16498500
-24,66428477;3,35137800
-24,65928477;2,97859200
-24,65428477;3,90994000
-24,64928478;3,90994000
-24,64428478;3,35137800
