Zeit;Kanal A
(ms);(mV)

-25,00999905;-3,90994000
-25,00499905;-4,09571800
-24,99999905;-3,16498500
-24,99499905;-2,60642200
-24,98999905;-2,60642200
-24,98499905;-2,97859200
-24,97999905;-3,35137800
-24,97499905;-2,97859200
-24,96999905;-3,16498500
-24,96499905;-2,60642200
-24,95999905;-2,23425200
-24,95499905;-2,97859200
-24,94999905;-1,67568900
-24,94499905;-1,67568900
-24,93999905;-1,11712600
-24,93499905;-1,30290300
-24,92999905;-1,11712600
-24,92499905;-2,04785900
-24,91999905;-0,74434050
-24,91499905;-0,74434050
-24,90999905;-0,55856290
-24,90499905;-0,18577760
-24,89999905;-0,37217020
-24,89499905;0,00000000
-24,88999905;-0,37217020
-24,88499905;-0,74434050
-24,87999905;0,00000000
-24,87499906;0,18577760
-24,86999906;0,00000000
-24,86499906;0,00000000
-24,85999906;0,55856290
-24,85499906;1,30290300
-24,84999906;0,55856290
-24,84499906;1,30290300
-24,83999906;1,11712600
-24,83499906;2,42002900
-24,82999906;1,30290300
-24,82499906;1,11712600
-24,81999906;0,74434050
-24,81499906;0,74434050
-24,80999906;0,37217020
-24,80499906;0,93073320
-24,79999906;1,11712600
-24,79499906;0,74434050
-24,78999906;1,11712600
-24,78499906;0,18577760
-24,77999906;0,37217020
-24,77499906;0,93073320
-24,76999906;0,93073320
-24,76499906;0,55856290
-24,75999906;0,55856290
-24,75499906;-1,11712600
-24,74999906;1,86146600
-24,74499906;0,55856290
-24,73999906;1,48929600
-24,73499906;1,86146600
-24,72999906;1,11712600
-24,72499906;2,04785900
-24,71999906;1,67568900
-24,71499906;1,86146600
-24,70999906;3,35137800
-24,70499906;2,97859200
-24,69999906;2,42002900
-24,69499906;3,35137800
-24,68999906;3,35137800
-24,68499906;3,53715500
-24,67999906;3,35137800
-24,67499906;3,72354800
-24,66999906;3,35137800
-24,66499906;3,90994000
-24,65999906;3,72354800
-24,65499906;3,16498500
-24,64999906;4,46850300
-24,64499906;3,35137800
-24,63999906;3,72354800
