Zeit;Kanal A
(ms);(mV)

-25,00749905;-2,97859200
-25,00249905;-3,53715500
-24,99749905;-3,35137800
-24,99249905;-2,97859200
-24,98749905;-3,35137800
-24,98249905;-3,35137800
-24,97749905;-2,79281500
-24,97249905;-2,04785900
-24,96749905;-2,60642200
-24,96249905;-2,23425200
-24,95749905;-1,48929600
-24,95249905;-1,48929600
-24,94749905;0,18577760
-24,94249905;-1,86146600
-24,93749905;-2,23425200
-24,93249905;-0,74434050
-24,92749905;-0,55856290
-24,92249905;-0,18577760
-24,91749905;-1,30290300
-24,91249905;-1,11712600
-24,90749905;-0,37217020
-24,90249905;-1,11712600
-24,89749905;-0,93073320
-24,89249905;-0,37217020
-24,88749905;-0,74434050
-24,88249905;-0,55856290
-24,87749905;-1,11712600
-24,87249906;-0,74434050
-24,86749906;-0,55856290
-24,86249906;-1,30290300
-24,85749906;-1,30290300
-24,85249906;-0,74434050
-24,84749906;-0,55856290
-24,84249906;-1,11712600
-24,83749906;-1,67568900
-24,83249906;-1,11712600
-24,82749906;-2,23425200
-24,82249906;-2,42002900
-24,81749906;-1,67568900
-24,81249906;-2,23425200
-24,80749906;-2,60642200
-24,80249906;-2,97859200
-24,79749906;-2,79281500
-24,79249906;-2,60642200
-24,78749906;-2,23425200
-24,78249906;-2,23425200
-24,77749906;-1,86146600
-24,77249906;-2,04785900
-24,76749906;-2,04785900
-24,76249906;-2,60642200
-24,75749906;-2,42002900
-24,75249906;-2,23425200
-24,74749906;-1,86146600
-24,74249906;-2,23425200
-24,73749906;-2,23425200
-24,73249906;-1,48929600
-24,72749906;-1,67568900
-24,72249906;-1,30290300
-24,71749906;-1,48929600
-24,71249906;-1,11712600
-24,70749906;-1,30290300
-24,70249906;-1,30290300
-24,69749906;-1,11712600
-24,69249906;-0,55856290
-24,68749906;-1,11712600
-24,68249906;-0,37217020
-24,67749906;-0,74434050
-24,67249906;0,00000000
-24,66749906;-0,18577760
-24,66249906;-0,37217020
-24,65749906;0,18577760
-24,65249906;0,00000000
