Zeit;Kanal A
(ms);(mV)

-25,00874905;-5,39923700
-25,00374905;-5,95780000
-24,99874905;-6,14419300
-24,99374905;-5,58562900
-24,98874905;-5,77140700
-24,98374905;-5,39923700
-24,97874905;-5,21284400
-24,97374905;-5,77140700
-24,96874905;-6,70275500
-24,96374905;-6,32997000
-24,95874905;-5,77140700
-24,95374905;-6,14419300
-24,94874905;-5,95780000
-24,94374905;-5,77140700
-24,93874905;-5,77140700
-24,93374905;-5,95780000
-24,92874905;-5,95780000
-24,92374905;-6,32997000
-24,91874905;-5,58562900
-24,91374905;-6,51636300
-24,90874905;-6,32997000
-24,90374905;-6,70275500
-24,89874905;-5,39923700
-24,89374905;-6,88853300
-24,88874905;-6,51636300
-24,88374905;-6,70275500
-24,87874905;-5,95780000
-24,87374906;-6,32997000
-24,86874906;-6,14419300
-24,86374906;-6,88853300
-24,85874906;-6,70275500
-24,85374906;-7,26131900
-24,84874906;-6,32997000
-24,84374906;-6,70275500
-24,83874906;-6,51636300
-24,83374906;-6,51636300
-24,82874906;-7,26131900
-24,82374906;-7,26131900
-24,81874906;-6,88853300
-24,81374906;-7,26131900
-24,80874906;-7,26131900
-24,80374906;-7,07492600
-24,79874906;-6,32997000
-24,79374906;-6,70275500
-24,78874906;-6,51636300
-24,78374906;-6,88853300
-24,77874906;-6,88853300
-24,77374906;-7,26131900
-24,76874906;-7,07492600
-24,76374906;-8,19205200
-24,75874906;-7,26131900
-24,75374906;-7,63348900
-24,74874906;-7,63348900
-24,74374906;-7,26131900
-24,73874906;-7,63348900
-24,73374906;-7,26131900
-24,72874906;-7,44709600
-24,72374906;-7,44709600
-24,71874906;-7,63348900
-24,71374906;-7,63348900
-24,70874906;-7,26131900
-24,70374906;-8,19205200
-24,69874906;-6,70275500
-24,69374906;-7,63348900
-24,68874906;-7,81988100
-24,68374906;-7,63348900
-24,67874906;-8,19205200
-24,67374906;-8,00565900
-24,66874906;-8,56422200
-24,66374906;-8,56422200
-24,65874906;-8,56422200
-24,65374906;-8,56422200
